frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,5.0,[2195.68017578125 1157.049072265625 2786.025390625 1736.6319580078125],[2407.13818359375 1551.491455078125 2576.4609375 1638.703857421875],0.6013635396957397,NW51TSU,0.10949070100369758
1,3.0,[752.2139282226562 1369.3121337890625 1429.306396484375 1984.0484619140625],[974.8357543945312 1753.40380859375 1199.5994873046875 1851.191650390625],0.5669248700141907,NA13NPU,0.3214015999618706
2,5.0,[2201.0521943187496 1167.3779282528758 2783.497326285822 1739.9155118065528],[2411.260986328125 1549.034912109375 2584.846435546875 1642.219482421875],0.5876848697662354,NO51VSU,0.030402280614325237
2,3.0,[750.7361611137771 1374.2024759570897 1425.7283942006075 1991.5582482831967],[975.324462890625 1765.396484375 1203.47021484375 1862.9620361328125],0.5357750058174133,0,0
3,3.0,[750.6694762268369 1379.5527040655033 1431.87351453904 2000.561375363619],[963.9210205078125 1782.314697265625 1187.0604248046875 1872.4549560546875],0.4821719527244568,NA13NPU,0.1969242765081458
3,5.0,[2197.595622991781 1172.2419840102775 2786.30334623024 1750.134487708695],[2410.0546875 1563.0362548828125 2585.463134765625 1653.6053466796875],0.4437575340270996,NU51VSU,0.396852429432522
4,3.0,[743.0389034834793 1386.442392718513 1430.0114340114555 2011.742961699555],[956.3207397460938 1785.892578125 1184.3294677734375 1879.5938720703125],0.4998027980327606,MA13NRU,0.18350060294507803
4,5.0,[2196.2372782832813 1175.8811493041585 2788.1997702847334 1758.253081550407],[2411.900390625 1565.64990234375 2584.382080078125 1651.2462158203125],0.498190701007843,0,0
5,5.0,[2190.989072050784 1176.1740909848154 2790.6104984748094 1763.8227498365113],[2416.611083984375 1575.34326171875 2587.66162109375 1654.04638671875],0.571334958076477,HL51NSU,0.1690214782259741
5,3.0,[736.3692337503288 1392.150809609795 1423.4771877880535 2020.8365563645184],[947.8341674804688 1785.777099609375 1190.2509765625 1887.91552734375],0.41104817390441895,0,0
6,5.0,[2188.58123781935 1176.8325395176917 2794.5777722145217 1768.7623991192058],[2408.718505859375 1582.39892578125 2585.8759765625 1661.4521484375],0.5514554977416992,0,0
6,3.0,[734.6443230181643 1397.6586203308293 1430.6789298601607 2030.8299012542266],[944.9208984375 1790.5264892578125 1191.167724609375 1895.4466552734375],0.48627254366874695,0,0
7,5.0,[2193.0183978235063 1174.0382937195718 2809.278848313108 1773.514425536343],[2416.05615234375 1588.1224365234375 2590.812744140625 1674.3482666015625],0.6306002736091614,0,0
